,year,year_code,country_name,country_code,access_to_electricity,birth_rate,life_expectancy,exports_perc_gdp,education_years,gdp_per_capita_ppp,perc_internet_users,infant_mort_rate,inflation_perc,consumer_price_index,crop_production_index,goods_imports,prevalence_of_anemia_pregnancy,diabetes_prevalence,human_capital_index,net_enrollment_rate,measles_immunization,co2_emissions_gaseous_fuel,fossil_fuel_energy_consumption,fuel_exports,fuel_imports,investment_inflows,investment_outflows,mobile_subscriptions,agricultural_land,greenhouse_gas_em,age_dependency_ratio,imports_annual_growth,int_tourism_arrivals,total_covid_cases_per_million,total_covid_deaths_per_million,population_density,median_age,human_development_index,ar_tech
90,2020,YR2020,Israel,ISR,1.0,21.7,78.9536585365854,35.5686038158534,11.0,24930.140618189,0.2087379,5.6,1.05074893807288,80.7864164432529,88.53,34747200000.0,19.5,6.5,0.733995318412781,97.85012,95.0,0.0304265806608653,97.2073148835389,0.0238160661016825,10.0361468057881,6.08078810629506,2.52019292586839,0.7399994955,26.1552680221811,65.6664982921108,61.5714331224264,11.9597797839345,2672000.0,96872.165,735.1360000000001,402.606,30.6,0.919,0.69705821455
91,2020,YR2020,Italy,ITA,1.0,9.5,79.7780487804878,25.6277321000853,12.0,27084.1918203274,0.2311087424,4.7,2.53768532095005,80.7107504637521,116.25,225178040923.841,19.0,5.9,0.727819681167603,99.68455,74.0,29.4522666232604,91.7300953931907,2.02151286901693,9.66840475794108,1.1516557383088,0.567570354338187,0.7451821660000001,53.167182346741,7.58403611154472,48.3877359861389,10.9908182014587,62702000.0,66746.526,2001.808,205.859,47.9,0.892,0.70540627644
92,2020,YR2020,Jamaica,JAM,0.844108505249023,21.372,74.142,38.7900457000845,6.0,6355.84007317132,0.03115778027,18.7,8.17108356120219,33.9763982618992,97.2,3004300000.0,27.1,10.6,0.534977912902832,92.8489,88.0,0.0,84.5570703738397,0.292569095461062,18.3692099061243,4.66982218559556,0.284908121904782,0.1382272429,44.2289935364728,32.6767228308572,66.5609047879576,3.95115298557459,2230000.0,15459.139,263.072,266.879,31.4,0.7340000000000001,0.4889876252714627
93,2020,YR2020,Japan,JPN,1.0,9.4,81.0760975609756,10.6244850068159,9.0,26838.6913604846,0.2999074036,3.3,-0.676578683595063,102.659069325736,118.97,336333048850.373,26.2,5.0,0.804714262485504,,96.0,12.3277824728347,80.6737656342559,0.31713063235683,20.3931823057802,0.218682871221014,0.921274923000361,0.5236997183,14.4252400548697,7.78113153500644,46.5594915841612,9.26672352511812,4757000.0,4738.06,81.288,347.778,48.2,0.919,0.7073375630900001
94,2020,YR2020,Jordan,JOR,0.9868096160888671,31.709,71.73,41.8292026516424,10.0,5937.21438596151,0.026232754219999998,22.6,0.666880925597913,67.2353965011268,54.29,4073693980.93089,33.2,10.1,0.553174376487732,91.29915,94.0,2.86119650035469,98.4559406997705,0.0134095616213473,15.8472296777516,10.7944716101145,0.101693091616523,0.07592963036,12.1146872166818,53.4488577641731,74.4300072462189,14.3447650141943,2700000.0,69789.98599999999,869.438,109.285,23.2,0.7290000000000001,0.559519715861877
95,2020,YR2020,Kazakhstan,KAZ,0.990752029418945,14.92,65.45,56.6024267995373,9.0,7733.78944301187,0.006685944029999999,36.4,,,49.22,7060340912.456,36.9,5.8,0.628506422042847,94.65791,99.0,17.1458734397317,97.2521223441322,50.123791354162,8.30204873677645,7.49246611635896,0.504918638561807,0.013221451129999999,79.7841612030966,-44.2921114016635,52.3557229058418,27.9999999979879,1683000.0,20154.811999999998,177.933,6.681,30.6,0.825,0.5485758417039198
96,2020,YR2020,Kenya,KEN,0.153646945953369,40.037,50.921,21.5875711417625,8.0,1617.53495474086,0.0031805971399999997,59.7,9.98002515350979,38.0878723316079,59.53,3021577321.15368,47.3,3.5,0.546752512454987,64.3069,78.0,0.0,18.2398629311412,8.07794915983307,22.1958090573601,0.872895972152775,7.870695737969e-05,0.003985789639999999,46.8619320378114,18.7301964408302,90.5554089036542,1.91848041939535,1037000.0,2976.551,51.031000000000006,87.324,20.0,0.601,0.08601760823735295
97,2020,YR2020,"Korea, Rep.",KOR,1.0,13.5,75.909756097561,33.9391689573172,6.0,18539.3769836658,0.447,6.4,2.25918477850415,73.1145005331247,116.39,154131100000.0,21.9,7.9,0.798776268959045,99.67971,95.0,8.7045579307011,83.9686000940826,5.44240824095879,23.726777007127,1.99754203031639,0.84038249300528,0.5659946726,20.4540742276591,70.6547997062748,38.5057635857634,22.092734793113,5322000.0,2403.783,35.751999999999995,527.967,43.4,0.9159999999999999,0.7630494672600001
98,2020,YR2020,Kuwait,KWT,1.0,22.817,73.142,56.4721744466436,9.0,56179.2950259742,0.06731395768,10.6,1.81294613887087,69.9434341326304,37.26,6451474442.26722,25.4,14.6,0.562588036060333,91.30349,99.0,38.6553471176229,100.0,94.3054880797806,0.581146846530528,0.0432209120217044,-0.803908963603699,0.2327488371,8.30527497194164,,42.7696910845167,5.16781197091922,1944000.0,64457.543,367.399,232.128,33.7,0.8059999999999999,0.596834768898
99,2020,YR2020,Kyrgyz Republic,KGZ,0.997537689208984,19.8,68.5585365853659,41.8478618433635,10.0,1863.73919003394,0.01041401145,42.4,18.7007342838023,48.9869015768215,79.29,506216118.703,37.7,5.2,0.596617102622986,92.73983,98.0,28.3227848101266,62.7833522583439,16.3595281000071,23.208376523416,-0.172311073962181,0.328541855053039,0.0018290036100000002,55.8602711157456,-70.0330516024194,67.9193312570811,0.391614835291421,173000.0,14676.456,247.08,32.333,26.3,0.6970000000000001,0.5524735334334413
100,2020,YR2020,Lao PDR,LAO,0.430939025878906,31.985,58.803,30.6620036018333,5.0,1831.96916204288,0.00111044032,76.0,25.0846414281315,48.1443015869662,37.65,535280000.0,50.5,5.6,0.456665337085724,75.85907,42.0,0.0,,0.870340668552997,25.2910879430462,1.95760389975157,0.572395000656716,0.0023819899699999997,7.82495667244367,-18.1244543805191,88.4279466708951,7.38800000000406,737000.0,112.844,,29.715,24.4,0.613,0.2376433173423983
101,2020,YR2020,Latvia,LVA,1.0,8.6,70.3146341463415,36.8292876336367,11.0,8033.30513072533,0.06319062083,11.5,2.65425477796052,59.1728345741562,50.44,2204241910.9965,27.4,7.6,0.70658141374588,98.60436,97.0,39.3764434180139,63.3882903137833,2.4689005832647,12.2939184638046,4.07817975141114,0.0871249828682715,0.1683072138,25.532188565181,-65.819508405466,48.9092587840456,2.67453316321517,1882000.0,63285.905,1134.025,31.212,43.9,0.866,0.5889474386705
102,2020,YR2020,Lebanon,LBN,0.9990000000000001,21.119,74.507,14.1775557263643,6.0,8952.10760910414,0.07952743736000001,16.9,1.19509671165545,95.0333819639543,109.15,6127505650.8659,29.7,7.8,0.515125513076782,,71.0,0.0,94.0361365495468,0.178629678109887,16.5230785906492,5.75581691967717,0.799079285165258,0.1933497069,58.1622678396872,,58.2118679342463,-5.20000000039212,742000.0,77285.54400000001,1069.8210000000001,594.561,31.1,0.7440000000000001,0.596619573766
103,2020,YR2020,Lesotho,LSO,0.0425876010781671,30.952,47.691,52.1895534855909,7.0,1257.42172189569,0.0021180607,75.3,6.13197538722695,50.6852538964192,115.34,794974348.165132,36.6,3.9,0.400392591953278,74.70101,74.0,0.0,0.0,0.0170708075774557,18.9304560252232,3.65179884057735,0.0,0.010625716989999999,76.8774703557312,71.6177338835879,78.8611963122709,6.34124759251139,302000.0,5009.215,147.50799999999998,73.562,22.2,0.527,0.02522707353699191
104,2020,YR2020,Liberia,LBR,0.03,42.914,51.734,31.3764073226545,6.0,993.400520400975,0.00017702706,126.9,14.1596470116325,41.0286645662337,86.68,278897108.322351,56.0,4.7,0.319014221429825,43.79097,63.0,0.0,,,,2.37986270022883,89.2330164374485,0.0005266010799999999,14.6320598006645,18.4756514559319,85.7497696432519,-16.9694660194175,,415.01300000000003,16.805999999999997,49.126999999999995,19.2,0.48,0.016614619579
105,2020,YR2020,Libya,LBY,0.970607604980469,21.626,70.852,31.558004285277,9.0,18043.576054245,0.0018704262199999999,24.1,-2.90000000000024,98.8052867026555,83.92,4129000000.0,32.2,9.0,,,93.0,20.1743462017435,99.1182837330156,96.6247232936984,0.682894165368475,0.368432812978268,0.256073870013264,0.007465624069999999,8.78070404764882,4.24522555238267,60.3032539709372,4.87289083437557,963000.0,25833.297000000002,440.82,3.623,29.0,0.7240000000000001,0.535235394323258
107,2020,YR2020,Lithuania,LTU,1.0,9.8,72.0195121951219,38.593931417507,10.0,8449.56543083844,0.06427067495,8.6,0.981615478857527,74.4044778412456,68.47,4501547500.0,26.6,7.6,0.70604795217514,97.92808,97.0,39.3729273439855,58.6737698267062,20.8549209883702,21.7232648402355,3.2996083516447,0.0442307912681271,0.1496356629,54.5309508615188,-60.8845095469926,51.3961003845971,6.59129643977356,4092000.0,91340.345,1446.2079999999999,45.135,43.5,0.882,0.5874583025225001
108,2020,YR2020,Luxembourg,LUX,1.0,13.1,77.8731707317073,148.484907700666,12.0,55365.293061939,0.22887327970000002,3.9,3.15076707022592,80.0532095732096,112.82,11055163352.2575,14.2,5.3,0.686146140098572,97.10292,93.0,18.6470850022252,83.4434126190809,0.0947141236673684,6.69482281028713,17.9671209591465,43.2644500617652,0.6954182842000001,52.6748971193416,-21.6274185153205,49.2930564870451,13.6778970948116,852000.0,107360.34599999999,1271.614,231.447,39.7,0.9159999999999999,0.699647476315
