Time,Time Code,Country Name,Country Code,Access to electricity (% of population),Bank liquid reserves to bank assets ratio (%),"Birth rate, crude (per 1,000 people)",Gini index (World Bank estimate),"Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Taxes on exports (% of tax revenue),Multidimensional poverty index (scale 0-1),Poverty headcount ratio at national poverty lines (% of population),"Compulsory education, duration (years)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Mortality rate, infant (per 1,000 live births)","Inflation, consumer prices (annual %)",Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),"Energy imports, net (% of energy use)","Goods imports (BoP, current US$)",Prevalence of anemia among pregnant women (%),"Prevalence of HIV, total (% of population ages 15-49)",Diabetes prevalence (% of population ages 20 to 79),Female genital mutilation prevalence (%),Human capital index (HCI) (scale 0-1),"Adjusted net enrollment rate, primary (% of primary school age children)",Adults (ages 15+) and children (ages 0-14) newly infected with HIV,"Immunization, measles (% of children ages 12-23 months)","Prevalence of overweight (modeled estimate, % of children under 5)",CO2 emissions from gaseous fuel consumption (% of total),Fossil fuel energy consumption (% of total),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),"Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Mobile cellular subscriptions (per 100 people),Agricultural land (% of land area),Total greenhouse gas emissions (% change from 1990),"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",Age dependency ratio (% of working-age population),Labor force with advanced education (% of total working-age population with advanced education),Labor force with intermediate education (% of total working-age population with intermediate education),Imports of goods and services (annual % growth),"International tourism, number of arrivals","International tourism, number of departures"
2000,YR2000,Bhutan,BTN,31.15,..,27.066,..,60.884,30.3942102191196,0.475443831874968,..,..,..,2696.34645578181,0.400944447,57.4,4.01099373013836,80.6280019247456,59.53,..,..,47.1,..,..,..,..,57.64125,..,78,4.3,0,..,..,..,..,..,..,0,13.3165829145729,80.4299548373214,..,77.7127290112487,..,..,..,7599.99990463257,..
2000,YR2000,Bolivia,BOL,69.963045,..,30.314,61.6,62.452,18.274745971826,0,..,..,8,3437.61887776643,1.442763585,55.8,4.60822998872598,62.6303680784418,56.05,-36.8080130247737,1610160000,35.3,0.5,..,..,..,96.41673,1800,84,8.5,48.4758117958913,82.5510885170049,12.1942402416879,4.84909064272744,-733550000,8.76825043369255,0.033341619086493,6.920904357,34.2869011354195,-52.5549055222854,..,75.3904387915315,81.0299987792969,63.4199981689453,4.66990833837284,319000,201000
2000,YR2000,Bosnia and Herzegovina,BIH,100,..,10.983,..,74.403,28.6908426725982,..,..,..,8,4549.32962366462,1.08296075,8.7,..,..,67.98,29.2263639982237,3894169621.05155,31.2,..,..,..,..,..,..,80,16.4,3.32446808510638,87.8938988502679,..,..,-146075610.876644,2.65308000591253,0,2.489512622,41.6015625,-28.1803591320708,..,46.3855851890182,..,..,..,171000,..
2000,YR2000,Botswana,BWA,27.2774658203125,..,29.302,..,50.629,51.8318100701299,..,..,..,..,8784.18873131477,2.902666622,32,8.6014851485149,44.034509775931,64.95,40.0211327346282,1773065062.5787,34.7,26.1,..,..,..,86.08761,26000,91,9.4,0,65.1133865346493,0.0812633784679619,4.89086091730176,-54918606.0375423,0.987700169396242,0.038918573568369,13.52068417,45.7907645616078,196.734053511213,..,72.1453562674153,..,..,-1.93643582228803,1306000,..
2000,YR2000,Brazil,BRA,94.4127731323242,..,20.119,..,70.116,10.1880480043795,..,..,..,8,9060.78639967067,2.870685159,30.3,7.04414105947266,52.5315827425714,54.11,21.2336708592902,55311052000,26.3,0.4,..,..,..,..,51000,99,6.2,5.49518123476666,58.2320639159772,1.64799481860444,14.8717492659695,-30497652699.75,5.0341286817021,0.38098677806877,13.26627719,27.3175012622426,-23.8810032964234,..,54.290896607646,..,..,10.7985867038515,5313000,3228000
2000,YR2000,British Virgin Islands,VGB,94.8051147460938,..,..,..,..,..,..,..,..,12,..,..,..,..,..,77.98,..,..,..,..,..,..,..,83.77107,..,..,..,0,..,..,..,..,..,..,..,46.6666666666667,..,..,..,..,..,..,272000,..
2000,YR2000,Brunei Darussalam,BRN,100,..,22.679,..,72.809,67.3543319201318,..,..,..,..,66439.3361395962,8.996284534,8.2,1.55815247634947,94.9592653292323,83.46,-725.508428160801,..,28.7,..,..,..,..,..,..,99,6.2,64.6692607003891,..,..,..,..,9.15836044684235,..,28.51439977,1.89753320683112,-47.4627585660933,..,49.3096169617768,..,..,-6.23347580299477,..,..
2000,YR2000,Bulgaria,BGR,100,..,9,..,71.6634146341463,36.2188580437982,0.00206587081254247,..,..,9,6424.75575422061,5.370923469,14.3,10.3162621289989,56.1013968449146,69.91,46.8405214353187,6000151670.44,27.9,0.1,..,..,..,97.09026,100,89,8.6,15.424142869177,72.3850411748848,11.6856232779917,4.60291440635628,-998219916.685135,7.56089691165576,0.0247921373115265,9.227356436,50.4564765434331,-38.7570345957059,..,47.6115970768822,74.5800018310547,65.0699996948242,-9.65616190199444,4922000,2337000
2000,YR2000,Burkina Faso,BFA,9.14439868927002,..,46.253,..,50.489,8.8447174852677,..,..,..,10,921.93989158583,0.077080169,91,-0.304212168486795,74.9152428538897,44.88,..,..,58.8,2.1,..,..,..,36.7463,10000,48,2.6,0,..,3.15566795031426,25.2464848600164,..,0.781518537634326,0.00565285108032949,0.217480411,35.7090643274854,282.43816769141,..,98.1560537932871,..,..,-4.24922094522118,126000,..
2000,YR2000,Burundi,BDI,2.98074841499329,..,42.993,..,49.091,6.3189705942566,..,..,..,..,527.080874665839,0.077248447,95.1,24.4320242102151,41.943020388257,84.81,..,107858715.460542,45,3.5,..,..,..,41.44158,8200,72,2.4,0,..,..,11.8398465486678,-11683240.6730743,1.34215199240978,-1.34215137162721,0.255844647,72.702492211838,21.4343174822351,..,110.83803450952,..,..,12.627624336954,29000,28000
